income,credit_score,loan_amount,employment_years,loan_status
131217,341,22630,7,0
92991,324,40144,13,0
24014,338,36182,6,0
31093,430,30538,6,0
38070,797,16824,0,1
55777,528,37125,16,0
76958,407,11979,8,0
102074,471,31189,12,0
30729,734,47600,18,1
119713,777,17504,18,1
65017,401,25669,16,0
86320,823,11910,9,1
47751,574,39964,9,0
126400,343,25131,3,0
125864,316,30227,7,0
98069,629,10978,19,1
125647,796,26991,19,1
125510,311,22153,17,0
74748,617,38548,13,1
25801,515,47676,17,0
39190,638,44071,13,0
69689,380,8983,19,1
124290,784,14503,14,1
70993,673,34921,3,0
49592,499,21905,12,0
30647,836,28953,7,1
28716,765,31806,17,1
108891,388,27168,11,0
107545,567,9583,13,1
137638,788,43714,1,1
109912,837,44896,17,1
130627,346,16889,1,0
90316,587,32413,10,1
146995,315,17275,8,0
22368,700,7461,11,1
97575,385,19291,16,0
26655,549,16435,14,1
126477,690,32935,16,1
90031,634,38453,17,1
96429,818,23544,5,1
111083,436,17258,16,1
107922,797,35841,17,1
75766,776,15736,7,1
144046,522,42643,8,0
33403,671,48950,5,0
52097,701,39964,4,0
98657,742,33044,11,1
140607,789,44933,10,1
30966,572,20997,0,0
144862,825,19215,10,1
119157,458,38069,18,0
138834,451,28911,8,0
113848,487,22030,1,0
72921,397,34334,11,0
69726,430,19571,3,0
146141,470,47719,3,0
70300,482,33927,17,0
42677,663,25714,14,1
75609,338,48541,18,0
116825,826,28387,12,1
76661,796,33444,18,1
51024,815,24921,16,1
128211,648,18057,5,1
90313,696,29858,15,1
147813,460,49638,11,0
73006,315,31062,18,0
115285,792,41850,4,1
35338,725,25567,16,1
88027,407,34739,0,0
112772,749,48285,9,1
133632,610,8754,14,1
100135,469,32044,10,0
39508,845,6724,12,1
140379,713,6376,4,1
23051,550,13706,0,0
68747,440,13894,11,0
134692,573,23037,10,1
107142,715,23450,16,1
107235,338,21406,3,0
74021,328,34725,14,0
86412,776,10926,8,1
78335,617,44019,19,1
76179,544,14496,18,1
52093,571,41068,18,1
89678,739,34806,11,1
100738,538,27663,4,0
59734,676,46321,9,0
92615,565,41495,16,1
93523,658,27656,4,1
125103,639,30860,15,1
114476,688,21832,6,1
122769,302,43787,8,0
37019,728,26727,2,1
131721,441,47815,14,0
103613,675,34545,15,1
111794,623,49522,17,1
106672,445,7520,13,1
93847,592,8081,2,1
102750,731,39196,11,1
99634,698,41735,8,1
48251,643,44213,6,0
123481,439,19566,8,0
132566,486,19042,12,1
45945,360,30498,17,0
110852,679,16329,4,1
52217,739,36656,12,1
28308,618,7159,3,1
25949,601,42900,1,0
71990,643,24363,15,1
21150,310,48241,8,0
109480,361,24033,8,0
120235,525,15805,5,0
94740,452,40851,10,0
136352,609,31832,0,0
86617,542,18944,3,0
114841,792,24873,12,1
36896,665,45372,12,1
145729,629,28928,12,1
66175,406,20379,1,0
27805,525,41751,8,0
25237,517,39546,7,0
135247,805,29286,6,1
40056,558,10110,3,0
65543,816,17087,17,1
76556,353,28762,2,0
134548,346,22081,5,0
131488,820,39947,11,1
23343,398,14596,11,0
33500,319,43019,7,0
73222,789,47003,0,0
49375,718,23313,3,1
29662,361,6013,10,0
36964,444,28705,2,0
133429,515,6828,12,1
141692,302,12909,16,0
79638,459,43356,9,0
93666,419,18109,11,0
105067,388,7023,14,0
138937,628,19537,9,1
87215,656,31661,13,1
89042,566,43659,12,0
33284,622,38848,4,0
92789,840,42804,5,1
104664,494,20379,1,0
113468,631,32766,16,1
81389,469,48590,3,0
29435,820,7563,13,1
74340,762,41060,9,1
64078,339,34197,2,0
98832,836,8586,2,1
71293,560,21087,14,1
115981,694,28225,5,1
98781,525,34750,16,1
80403,423,11643,11,0
49124,337,32523,19,0
115435,627,41727,10,1
63919,550,16005,3,0
128761,475,48543,5,0
141305,753,5161,0,1
55247,336,21029,19,0
141172,615,19226,15,1
114758,413,33731,14,0
111747,339,48922,16,0
82752,600,49848,7,0
76573,523,8390,11,1
79101,617,10997,9,1
122756,648,17693,14,1
46646,414,47092,8,0
124185,622,5541,1,1
43049,339,26817,4,0
99605,339,42861,5,0
118116,588,18428,6,1
117379,561,48934,0,0
88385,515,15258,6,0
146131,446,21044,19,1
60158,635,34411,11,1
85417,467,10469,15,1
43289,391,33854,15,0
130226,652,11256,10,1
120793,662,15720,3,1
29823,644,38937,12,1
80160,469,38598,6,0
61975,655,6651,3,1
29540,490,24194,14,0
36364,721,30051,18,1
24611,306,32386,8,0
47663,432,14518,10,0
71991,330,21184,7,0
77679,834,38787,0,1
124182,725,26621,7,1
50977,693,15028,12,1
114704,662,17448,3,1
69115,736,39051,7,1
111007,381,35447,2,0
108223,655,23394,8,1
80890,557,39501,1,0
86387,823,35254,1,1
38071,594,23509,12,1
79275,523,19472,14,1
92369,824,8471,11,1
31938,345,46796,3,0
55195,412,35268,7,0
111680,532,13329,8,1
24000,316,39865,4,0
90588,659,33272,19,1
121042,522,47845,17,0
113610,747,11397,10,1
140420,664,37373,14,1
123691,625,40525,8,1
126306,766,29570,16,1
117856,713,23284,11,1
58304,754,23994,6,1
131783,532,28284,9,0
89449,523,22833,9,0
102986,711,30122,12,1
109643,634,10017,18,1
40764,521,21370,10,0
128940,336,34252,12,0
106027,577,12999,7,1
58494,495,27436,7,0
23373,783,47963,3,0
32161,541,7096,14,1
117532,623,30279,10,1
112658,491,48363,10,0
143633,316,31201,0,0
120386,823,24715,16,1
47350,700,34309,14,1
113008,321,20078,19,0
114297,773,10105,5,1
45351,419,34312,14,0
108668,509,7839,8,1
134585,605,8384,13,1
35305,569,48619,17,0
95353,584,47821,16,1
96797,526,18493,17,1
85953,680,22069,4,1
77458,759,12531,19,1
127112,306,42051,19,0
40358,328,12736,8,0
23267,332,12710,10,0
102745,378,6619,0,0
109588,758,18975,17,1
58513,837,28252,5,1
46092,781,20261,1,1
31338,729,6431,14,1
20412,584,14067,13,1
27543,815,42481,4,1
125891,398,32037,5,0
53496,696,14557,5,1
80692,788,14435,17,1
109084,338,42766,13,0
112920,570,5162,9,1
143555,456,39742,13,0
64425,374,24675,12,0
58756,429,13461,2,0
38888,383,22015,5,0
55735,321,37591,7,0
67295,758,33047,11,1
137474,838,39782,12,1
134352,681,14833,10,1
103042,739,12896,11,1
105999,320,37972,0,0
37955,602,46800,16,0
57841,383,35508,15,0
90640,752,10347,10,1
85510,686,35314,12,1
54911,806,7643,17,1
79031,556,45785,10,0
108726,826,23681,11,1
27357,461,43328,5,0
52479,462,20892,8,0
81476,823,22073,15,1
64811,570,41768,3,0
56208,791,35682,2,1
40150,507,37262,15,0
91180,838,36358,11,1
63286,359,19289,10,0
132856,729,12927,4,1
88450,608,6171,17,1
41352,819,16918,18,1
75069,326,46903,5,0
131888,498,44110,17,0
130448,686,16929,5,1
34397,648,7539,3,1
61555,835,41727,11,1
66959,677,27669,18,1
20728,826,10432,1,1
70517,452,25644,16,0
139180,505,23745,10,1
86234,754,33228,10,1
59954,572,39521,15,0
67280,535,36703,1,0
99459,820,31928,1,1
36779,800,23322,7,1
83932,416,27360,12,0
92936,685,34055,9,1
44466,643,47891,7,0
56939,694,21376,3,1
89896,363,11588,14,0
55270,371,30000,0,0
79163,573,11304,10,1
102637,619,12345,6,1
71934,637,34300,16,1
84895,665,29259,19,1
52307,794,30470,17,1
74098,465,28017,11,0
80921,843,20352,8,1
25486,310,38365,4,0
28335,600,24446,9,0
106900,401,7336,3,0
146020,724,14879,4,1
141954,691,37316,9,1
122795,513,38340,10,0
109112,387,12521,9,0
117203,700,11171,7,1
31130,345,28481,1,0
107508,762,23474,7,1
125955,609,49629,15,1
138324,385,26008,4,0
80566,391,6633,2,0
86703,541,17485,11,1
47192,301,48617,12,0
21062,524,8648,12,1
104076,415,18140,9,0
109780,402,22921,3,0
41545,493,19357,8,0
41689,465,8137,1,0
31174,389,5097,18,1
108461,421,16407,0,0
146174,442,35575,6,0
123033,405,17722,16,0
29348,727,17924,2,1
43714,604,8750,19,1
58102,616,32733,19,1
94460,308,13535,2,0
122634,372,29487,2,0
109930,658,35651,16,1
26801,522,9666,6,0
123150,715,21994,13,1
92267,669,6727,16,1
68136,563,39622,17,1
43625,617,15800,12,1
102873,383,42823,19,0
120843,617,48039,19,1
92592,410,23708,17,0
97052,550,17819,3,0
64261,682,14369,0,1
21542,306,14283,17,0
41677,758,35573,0,0
66732,383,18171,12,0
70343,507,35933,19,1
59081,689,10774,19,1
82856,613,11519,9,1
113105,321,15983,10,0
108858,709,35932,8,1
39065,814,35798,8,1
144097,426,23133,4,0
103460,313,19939,0,0
108092,311,5781,16,0
146116,386,32624,1,0
74693,823,11823,12,1
46962,836,23489,8,1
48295,600,44961,3,0
33807,542,34118,4,0
62348,421,39881,10,0
46432,446,21280,18,0
103285,655,27263,2,1
126995,608,18565,11,1
111792,587,25354,18,1
77854,606,47951,18,1
60262,848,30643,12,1
57080,651,28648,6,1
21324,611,46971,14,0
111267,358,23658,6,0
144707,334,26253,7,0
55909,744,31390,4,1
109339,392,28128,13,0
39870,506,18489,3,0
54578,652,43314,9,0
92124,631,37658,19,1
137611,458,11852,14,1
123605,323,34450,17,0
46790,703,7551,19,1
138874,815,11411,12,1
45289,663,38243,7,0
75129,681,26800,8,1
113714,831,15403,15,1
114246,451,12239,18,1
35485,719,11710,15,1
64482,549,26384,6,0
106188,416,26038,13,0
24748,811,45846,13,1
106769,634,27447,3,1
29435,717,7285,14,1
23709,594,42991,2,0
143961,670,18521,4,1
50355,485,11971,0,0
75771,545,34139,2,0
77799,567,24909,14,1
33116,536,16531,7,0
45470,829,19721,3,1
62344,320,24206,1,0
62918,819,42711,9,1
72224,399,11530,3,0
59298,777,16116,2,1
128492,597,5258,1,1
100219,825,5282,16,1
81629,633,18937,19,1
86040,301,6898,12,0
119518,674,9135,4,1
119835,592,11629,8,1
48016,617,48936,5,0
43960,801,24584,4,1
53591,680,28551,9,1
102848,313,38380,7,0
123333,803,22071,6,1
131732,530,25074,6,0
134821,383,30188,5,0
87641,429,7307,19,1
56395,444,44901,2,0
131276,327,16205,18,0
149695,365,10906,14,0
42700,462,7591,3,0
54620,528,20149,11,0
123214,560,49918,5,0
148148,748,44951,18,1
40559,723,30150,3,1
113045,759,36852,14,1
113396,600,47870,8,0
81642,602,6283,4,1
96539,586,38691,12,1
41732,694,6125,17,1
148675,309,6529,4,0
111362,569,31170,15,1
50354,660,13438,18,1
33843,556,25095,13,1
130008,432,21154,15,0
134065,575,13004,14,1
91726,812,14752,3,1
37640,612,48360,6,0
72528,583,31819,15,1
58413,420,41632,7,0
148142,406,31515,16,0
72638,503,29217,15,0
72736,464,28172,9,0
127892,604,37994,9,1
130133,796,20036,1,1
126357,455,16739,8,0
88866,666,37220,16,1
39087,550,14587,10,1
61430,633,49517,9,0
44504,810,35129,16,1
27114,592,5645,3,1
98859,319,35930,15,0
119657,581,21299,19,1
30975,300,35090,14,0
31023,418,26953,4,0
41447,334,31475,5,0
110469,497,23888,16,1
145899,784,48732,0,1
43959,358,21087,18,0
86203,460,14346,3,0
139156,505,5587,16,1
49703,311,17763,8,0
29337,789,46945,1,0
66427,575,9079,7,1
141507,541,41116,14,1
81529,515,25215,6,0
122023,550,30817,5,0
104665,425,29765,0,0
125787,516,35112,14,0
51921,605,30556,6,0
53307,484,23099,16,0
47355,338,48553,1,0
123268,522,11450,8,1
147016,483,18230,8,0
24835,794,34009,12,1
40159,726,10433,5,1
124346,477,38866,5,0
67605,727,44864,19,1
141790,593,23710,19,1
125616,450,16439,2,0
58088,683,46855,16,1
